direction,relation,relex_relcos,sentence,term1,term2
MYCOBACTERIUM TUBERCULOSIS causes NONCAVITY PULMONARY TB,causes,0.997054485501582,"14  ATS, CDC, and IDSA state that rifapentine can be used in conjunction with isoniazid in the continuation phase in HIV seronegative patients with NONCAVITY PULMONARY TB caused by susceptible  MYCOBACTERIUM TUBERCULOSIS ; rifapentine is an alternative to rifampin for use in conjunction with isoniazid in the continuation phase.",NONCAVITY PULMONARY TB,MYCOBACTERIUM TUBERCULOSIS
RICKETTSIA RICKETTSII causes ROCKY MOUNTAIN SPOTTED FEVER,causes,0.997054485501582,"Included are infections caused by the pathogenic organism  RICKETTSIA RICKETTSII , which causes ROCKY MOUNTAIN SPOTTED FEVER",ROCKY MOUNTAIN SPOTTED FEVER,RICKETTSIA RICKETTSII
no_relation,causes,0.896258159530272,69  EBV INFECTION in the Immunocompromised Host  Immunocompromised hosts are susceptible to overwhelming EBV LYMPHOPROLIFERATIVE SYNDROMES.,EBV INFECTION,EBV LYMPHOPROLIFERATIVE SYNDROMES
no_relation,causes,0.625,This disorder is termed KALLMANN SYNDROME when it is accompanied by ANOSMIA and has also been termed idiopathic hypogonadotropic hypogonadism (IHH.,ANOSMIA,KALLMANN SYNDROME
INFECTIOUS MONONUCLEOSIS causes LYMPHADENOPATHY,causes,0.997054485501582,"INFECTIOUS MONONUCLEOSIS  Clinical features   Patients usually present with fever, pharyngitis, and LYMPHADENOPATHY",LYMPHADENOPATHY,INFECTIOUS MONONUCLEOSIS
no_relation,causes,0.953462589245592,"• Clinical spells and HYPERTENSION from circulating catecholamines are insufficiently sensitive to be used as primary indicators of PHEOCHROMOCYTOMAS but, when present, may herald life threatening crises.",HYPERTENSION,PHEOCHROMOCYTOMAS
ACUTE ARTERITIS WITH EOSINOPHILIA causes HYPEREOSINOPHILIC SYNDROME,causes,0.9237604307034007,"Loffler's syndrome (a subcategory of HYPEREOSINOPHILIC SYNDROME with primary cardiac involvement), which occurs in the tropics, begins as an ACUTE ARTERITIS WITH EOSINOPHILIA followed by thrombus formation on the endocardium, chordae, and atrioventricular (AV) valves, progressing to fibrosis.",ACUTE ARTERITIS WITH EOSINOPHILIA,HYPEREOSINOPHILIC SYNDROME
CHRONIC PAIN FROM BRACHIAL PLEXUS causes RSD,causes,0.9237604307034007,"CHRONIC PAIN FROM BRACHIAL PLEXUS injury becomes RSD once additional, RSD defining symptoms develop.",CHRONIC PAIN FROM BRACHIAL PLEXUS,RSD
ECLAMPSIA causes COMPLICATION,causes,0.5,ECLAMPSIA is the most serious COMPLICATION of pregnancy induced hypertension (PIH.,COMPLICATION,ECLAMPSIA
ELEVATED INTRACRANIAL PRESSURE causes PAPILLEDEMA,causes,0.970142500145332,PAPILLEDEMA is a sign of ELEVATED INTRACRANIAL PRESSURE and is almost always bilateral.,PAPILLEDEMA,ELEVATED INTRACRANIAL PRESSURE
no_relation,causes,0.6575959492214289,◊ Often has characteristic ECG patterns that facilitate diagnosis • Avoid ICD placement in patients with Wolff Parkinson White syndrome with REGULAR WIDE COMPLEX TACHYCARDIA (a supraventricular arrhythmia resembling VT which should be treated with drug therapy or catheter ablation.,REGULAR WIDE COMPLEX TACHYCARDIA,VT
LEPTOSPIRA INTERROGANS causes LEPTOSPIROSIS,causes,0.9901475429766742,"physician, 1848 1916] LEPTOSPIROSIS caused by any one of several serotypes of  LEPTOSPIRA INTERROGANS  such as  L. icterohemorrhagica  in rats,  L. pomona  in swine, or  L. canicola  in dogs.",LEPTOSPIROSIS,LEPTOSPIRA INTERROGANS
no_relation,causes,0.5669467095138411,"• Systematic reviews of treatment modalities for osteoarthritis ( 28 ;  29 ), rheumatoid arthritis ( 30 ;  31 ;  32 ;  33 ), FIBROMYALGIA ( 34 ), and LOW BACK PAIN ( 35 ;  36 ;  37 ) confirm that each of these specific pain syndromes responds to specific treatment modalities and that accurate diagnosis is important to guide optimal pain management.",LOW BACK PAIN,FIBROMYALGIA
RSD causes CENTRAL POSTSTROKE PAIN,causes,0.577350269189626,"• The complex symptoms of RSD and their significant overlap with neurologic and rheumatologic conditions justify a neurologic and possibly rheumatologic evaluation in most cases to help distinguish RSD from neuropathy, radiculopathy, plexopathy, or CENTRAL POSTSTROKE PAIN and from rheumatic or collagen vascular disease.",CENTRAL POSTSTROKE PAIN,RSD
BABESIA MICROTI causes BABESIOSIS,causes,0.997054485501582,Treatment of BABESIOSIS   +    caused by  BABESIA MICROTI.,BABESIOSIS,BABESIA MICROTI
DRAVET SYNDROME causes SEIZURE,causes,0.994134846772434,Treatment/Management  Children and Adults with DRAVET SYNDROME experience multiple SEIZURE types that are resistant to most anti epileptic medications.,SEIZURE,DRAVET SYNDROME
AMPHOTERICIN B LIPID COMPLEX treats FUNGAL INFECTIONS,causes,0.5656854249492379,"Walsh TJ, Seibel JL, Arndt C et al. AMPHOTERICIN B LIPID COMPLEX in pediatric patients with invasive FUNGAL INFECTIONS",FUNGAL INFECTIONS,AMPHOTERICIN B LIPID COMPLEX
YELLOW NAIL SYNDROME causes YELLOW NAILS,causes,0.7947194142390258,"all patients with ovarian mass, ascites, and pleural effusion are inoperable; diagnosis requires disappearance of ascites and effusion postoperatively YELLOW NAIL SYNDROME Triad of pleural effusion, lymphedema, and YELLOW NAILS; elements may appear decades apart; pleural fluid has relatively high protein but low LDH; effusion tends to recur, and there is no pleuritic chest pain   Table 60 3.",YELLOW NAIL SYNDROME,YELLOW NAILS
MYCOBACTERIUM LEPRAE causes LEPROSY,causes,1.0,"Hansen's bacillus    (            audio )  [Gerhard H. A. Hansen, Norwegian physician, 1841 1912]  MYCOBACTERIUM LEPRAE  the cause of LEPROSY which Hansen discovered in 1871.",LEPROSY,MYCOBACTERIUM LEPRAE
no_relation,causes,0.8090398349558909,• CUSHING'S SYNDROME patients with normal UFC levels or DEXAMETHASONE SUPPRESSION may have elevated midnight plasma cortisol ( 49 ;  50.,CUSHING'S SYNDROME,DEXAMETHASONE SUPPRESSION
no_relation,causes,0.38490017945975,SAW PALMETTO did not differ from placebo for BENIGN PROSTATIC HYPERPLASIA in men  General Internal Medicine/Family Practitioner/General Practitioner Nephrology  About Star Ratings  Keywords: Androgen antagonists Plant extracts Prostatic hyperplasia  ACP Journal Club.,BENIGN PROSTATIC HYPERPLASIA,SAW PALMETTO
ERYSIPELOTHRIX RHUSIOPATHIAE causes ERYSIPELOID,causes,0.99654575824488,"1  >     Uncomplicated Infections (e.g., ERYSIPELOID Caused by ERYSIPELOTHRIX RHUSIOPATHIAE  IM:  Penicillin G procaine: 600,000 to 1 million units daily.",ERYSIPELOID,ERYSIPELOTHRIX RHUSIOPATHIAE
DISEASE (HD causes DEMENTIA,causes,0.8867963503478641,Hyperkinetic Movement Disorders  HUNTINGTON DISEASE  Huntington DISEASE (HD is an autosomal dominant neurodegenerative condition characterized by an adult onset choreiform disorder and DEMENTIA,DEMENTIA,DISEASE (HD
CNS causes MENINGITIS,causes,0.9878291611472622,"Evidence: • Although enterovirus affecting the CNS primarily causes MENINGITIS cases of enterovirus presenting as chronic, recurring encephalitis have been reported in patients with deficiencies in humoral immunity ( 22.",CNS,MENINGITIS
A OR B VIRUS IN ADULTS causes AND B VIRUS INFECTIONS,causes,0.7293249574894731,"Prevention of Seasonal Influenza A AND B VIRUS INFECTIONS  Prevention of illness caused by influenza A OR B VIRUS IN ADULTS adolescents, and children ≥1 year of age.",AND B VIRUS INFECTIONS,A OR B VIRUS IN ADULTS
MYELODYSPLASTIC SYNDROME causes HYPERCELLULAR BONE MARROW,causes,0.625,"MYELODYSPLASTIC SYNDROME involves a group of disorders typified by peripheral cytopenia, dysplastic hematopoietic progenitors, a HYPERCELLULAR BONE MARROW and a high risk of conversion to AML.",HYPERCELLULAR BONE MARROW,MYELODYSPLASTIC SYNDROME
no_relation,causes,0.8082903768654759,"HYPERTENSION IN MEN IIA patients with PHEOCHROMOCYTOMA is more often paroxysmal than sustained, in contrast to the usual sporadic case.",HYPERTENSION IN MEN IIA,PHEOCHROMOCYTOMA
METASTASES causes METASTATIC LESION,causes,0.534522483824849,"In cases of known METASTASES surgical resection of the kidney ('cytoreductive nephrectomy') may improve survival,[43] as well as resection of a solitary METASTATIC LESION...",METASTATIC LESION,METASTASES
ENTAMOEBA HISTOLYTICA causes AMEBIASIS,causes,0.99654575824488,Uses  Amebiasis  Treatment of AMEBIASIS caused by  ENTAMOEBA HISTOLYTICA.,AMEBIASIS,ENTAMOEBA HISTOLYTICA
ECHINOCOCCUS GRANULOSUS causes HYDATID DISEASE,causes,0.997054485501582,"In humans,  T. solium  causes cysticercosis, and  ECHINOCOCCUS GRANULOSUS  and  E. multilocularis cause  HYDATID DISEASE",HYDATID DISEASE,ECHINOCOCCUS GRANULOSUS
CYCLOSPORINE causes HYPERTENSION,causes,0.9897433186107868,"CYCLOSPORINE can cause HYPERTENSION renal toxicity, hypomagnesemia, hypophosphatemia, vitiligo, tremors, hypertrichosis, susceptibility to  Pneumocystis carinii  pneumonia (PCP), and gingival hyperplasia.",HYPERTENSION,CYCLOSPORINE
HTLV 1 causes TROPICAL SPASTIC PARAPARESIS,causes,0.878114079917523,"HTLV 1 causes adult T cell leukemia/lymphoma (ATL), T cell non Hodgkin lymphoma, and an unusual neurodegenerative syndrome designated TROPICAL SPASTIC PARAPARESIS or HTLV 1 associated myelopathy (TSP/HAM.",TROPICAL SPASTIC PARAPARESIS,HTLV 1
PSYCHOTROPIC DRUGS causes OVERDOSE,causes,0.911684611677103,Cutaneous reactions to PSYCHOTROPIC DRUGS; atrial fibrillation and anabolic steroids; accidental olanzapine OVERDOSE in a child.,OVERDOSE,PSYCHOTROPIC DRUGS
no_relation,causes,0.738548945875996,"100 ,   120 ,   121    Clostridium difficile  associated diarrhea and colitis (CDAD; also known as ANTIBIOTIC ASSOCIATED DIARRHEA and colitis or pseudomembranous colitis) has been reported with nearly all anti infectives, including cefadroxil, and may range in severity from mild DIARRHEA to fatal colitis.",DIARRHEA,ANTIBIOTIC ASSOCIATED DIARRHEA
EAR PAIN HAS causes CAUSES AND NEURALGIA TH,causes,0.98058067569092,C]  Specific recommendation:  Consult an ENT specialist if the patient has: ; Pain in the ear or throat ; Constant facial pain with sinus tenderness ; Foul nasal discharge ; Facial swelling  Rationale:  EAR PAIN HAS many common otologic CAUSES AND NEURALGIA THat involves the ear is rare.,EAR PAIN HAS,CAUSES AND NEURALGIA TH
no_relation,causes,0.480384461415261,"relapse ; Identifying and treating suboptimal responses (i.e., treatment failure, incomplete response, and DRUG TOXICITY ; Managing MEDICATION SIDE EFFECTS especially myelosuppression and vertebral compression.",MEDICATION SIDE EFFECTS,DRUG TOXICITY
VIRUS INDUCED DEMYELINATION causes SUBACUTE SCLEROSING PANENCEPHALITIS,causes,0.956182887467515,VIRUS INDUCED DEMYELINATION includes progressive multifocal leukoencephalopathy and SUBACUTE SCLEROSING PANENCEPHALITIS,SUBACUTE SCLEROSING PANENCEPHALITIS,VIRUS INDUCED DEMYELINATION
FIBROSITIS causes PAIN,causes,0.994936676326182,"SYN:   fibromyositis ;  FIBROSITIS   SEE:   table  PATIENT CARE: Fibromyalgia is a condition in which objective findings are limited, but subjective fatigue, PAIN and distress are often significant.",PAIN,FIBROSITIS
ENDOMETRIOSIS causes PELVIC PAIN,causes,0.976546150525391,Endometriosis lesions grow when serum estradiol concentration is in the premenopausal range (30 to 300 pg/mL) and regress when estradiol levels are in the menopausal range (  40  Progestins  High dose synthetic progestins have been demonstrated in multiple clinical trials to be effective in the treatment of PELVIC PAIN caused by ENDOMETRIOSIS [ see  Table 5.,PELVIC PAIN,ENDOMETRIOSIS
no_relation,causes,0.950255268139496," METFORMIN Can accumulate in patients who develop rENAL FAILURE and metformin accumulation can lead to lactic acidosis, which can be fatal.",ENAL FAILURE,ETFORMIN C
no_relation,causes,0.6324555320336761,TRIGEMINAL NEURALGIA involving the first ophthalmic division can be a consideration where trigger zones and a response to CARBAMAZEPINE may be present.,TRIGEMINAL NEURALGIA,CARBAMAZEPINE
DRUG INDUCED NEUTROPENIA causes NEUTROPENIA,causes,1.0,DRUG INDUCED NEUTROPENIA is one of the most common causes of NEUTROPENIA,NEUTROPENIA,DRUG INDUCED NEUTROPENIA
no_relation,causes,0.520755643923296,"In persons older than 20 years in whom ophthalmoplegia is the predominant phenotype, KSS is classified as CHRONIC PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA (CPEO.",CHRONIC PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA,KSS
no_relation,causes,0.929981109950554,Involvement of the tip of the nose in the zoster rash is a strong predictor of herpes ophthalmicus.[46]  POSTHERPETIC NEURALGIA   a condition of CHRONIC PAIN FOLLOWING HERPES zoster.,CHRONIC PAIN FOLLOWING HERPES,POSTHERPETIC NEURALGIA
no_relation,causes,0.6154574548966639,Physical findings in the FEET of patients with BILATERAL FOOT PAIN from small fiber polyneuropathy.,FEET,BILATERAL FOOT PAIN
EWING SARCOMA causes FEVER,causes,0.979957887012223,"Diagnosis  Patients with Ewing sarcoma present with fever, weight loss, malaise, poorly localized bone pain, and a rapidly enlarging mass. With leukocytosis, FEVER and an elevated erythrocyte sedimentation rate, EWING SARCOMA mimics osteomyelitis.",FEVER,EWING SARCOMA
M TUBERCULOSIS causes DRUG RESISTANT TUBERCULOSIS ESPECIALLY MULTIDRUG RESISTANT,causes,0.9760921603577252,"Longer courses of therapy are required for DRUG RESISTANT TUBERCULOSIS ESPECIALLY MULTIDRUG RESISTANT disease (i.e., disease caused by  M TUBERCULOSIS  that is resistant to at least isoniazid and rifampin).Treatment of tuberculosis has two phases: initiation (also known as the bactericidal or intensive phase) and continuation (also known as the subsequent sterilizing phase.",DRUG RESISTANT TUBERCULOSIS ESPECIALLY MULTIDRUG RESISTANT,M TUBERCULOSIS
COXIELLA BURNETII causes Q FEVER ENDOCARDITIS,causes,0.9918365981341758,"568 ,   625   Has been effective for Q FEVER ENDOCARDITIS caused by  COXIELLA BURNETII    +     625   and Mediterranean spotted fever caused by  Rickettsia conorii    +.",Q FEVER ENDOCARDITIS,COXIELLA BURNETII
FUNGI causes FUNGAL INFECTION,causes,1.0,"bronchomycosis    (                      audio )  [&dblprime; +  mykes , fungus, +  osis , condition] Any FUNGAL INFECTION of the bronchi or bronchial tubes, usually caused by FUNGI of the genus  Candida.",FUNGAL INFECTION,FUNGI
HUMAN EWINGII EHRLICHIOSIS causes EHRLICHIA CHAFFEENSIS,causes,0.964901281354015,"Six species are now implicated in human diseases [ see  Table 1  ]:  EHRLICHIA CHAFFEENSIS , which causes human monocytic ehrlichiosis;  Anaplasma phagocytophilum , which causes human anaplasmosis;  Ehrlichia ewingii , which causes HUMAN EWINGII EHRLICHIOSIS;  Ehrlichia canis ;  Ehrlichia ruminantium ; and  Neorickettsia sennetsu.",HUMAN EWINGII EHRLICHIOSIS,EHRLICHIA CHAFFEENSIS
RICKETTSIA TSUTSUGAMUSHI causes MITE BORNE DISEASE,causes,0.9931270663228408,SCRUB TYPHUS  (Tsutsugamushi Disease; Mite Borne Typhus; Tropical Typhus)  Scrub typhus is a MITE BORNE DISEASE caused by  RICKETTSIA TSUTSUGAMUSHI.,MITE BORNE DISEASE,RICKETTSIA TSUTSUGAMUSHI
no_relation,causes,0.583459965991578,"Exclusion criteria were coronary disease, HEART FAILURE left ventricular systolic dysfunction, cardiomyopathy, valvular or congenital heart disease, past renal or cardiac transplantation, atrial fibrillation, DIGITALIS use, pacemaker or defibrillator placement, or end stage renal disease.",HEART FAILURE,DIGITALIS
no_relation,causes,0.707106781186547,"1   If the tachycardia is regular and comparison with a baseline electrocardiogram shows that the QRS complex is identical to that during sinus rhythm, the patient may have supraventricular TACHYCARDIA (SVT) with bundle branch block (BBB) or antidromic ATRIOVENTRICULAR REENTRANT TACHYCARDIA (AVRT.",TACHYCARDIA,ATRIOVENTRICULAR REENTRANT TACHYCARDIA
BLADDER CANCER causes HEMATURIA,causes,0.8082903768654759,"• HEMATURIA can precede the diagnosis of BLADDER CANCER by several years according to a retrospective review of 20,571 men and women enrolled in a large prepaid health plan in California ( 53.",HEMATURIA,BLADDER CANCER
no_relation,causes,0.784464540552736,"In acute PROMYELOCYTIC LEUKEMIA (APL) and some other cases of AML, DISSEMINATED INTRAVASCULAR COAGULATION (DIC) may be present on diagnosis and may worsen as leukemic cell lysis releases procoagulant.",DISSEMINATED INTRAVASCULAR COAGULATION,PROMYELOCYTIC LEUKEMIA (APL)
no_relation,causes,0.6837634587578281,"CHEMICAL ASPIRATION PNEUMONIAS often occur because of silent reflux regurgitation, resulting in acidic stomach contents and gram negative organisms entering the RESPIRATORY TRACT",RESPIRATORY TRACT,CHEMICAL ASPIRATION PNEUMONIAS
HEPARIN causes DIC,causes,0.938314863256836,DIC occurred in 9 of 16 (56%) patients who received heparin compared to 1 of 16 (6%) patients who did not receive HEPARIN.,DIC,HEPARIN
no_relation,causes,0.917662935482247,"Naturally occurring measles can cause severe, often fatal, INFECTION in AIDS patients, and MEASLES MUMPS RUBELLA rarely causes serious complications.",MEASLES MUMPS RUBELLA,INFECTION
UNSTABLE ANGINA causes CHEST PAIN,causes,0.986393923832143,"CONCLUSION  Among patients who were diagnosed for the first time with UNSTABLE ANGINA after presenting to the emergency department with CHEST PAIN women received fewer cardiac procedures than did men within 90 days; after adjustment for baseline characteristics, men experienced worse outcomes during follow up.",CHEST PAIN,UNSTABLE ANGINA
KINKY HAIR DISEASE causes MENTAL RETARDATION,causes,0.986393923832143,"KINKY HAIR DISEASE    A congenital syndrome caused by an autosomal recessive gene, consisting of short, sparse, often poorly pigmented, kinky hair and physical and MENTAL RETARDATION",MENTAL RETARDATION,KINKY HAIR DISEASE
no_relation,causes,0.5962847939999439,1   Reduces duration and severity of nEUTROPENIA In patients with cHEMOTHERAPY INDUCED NEUTROPENIA..,EUTROPENIA I,HEMOTHERAPY INDUCED NEUTROPENIA
CLASSICAL NODULAR SCLEROSIS causes MEDIASTINAL LYMPHADENOPATHY,causes,0.9578262852211508,"MEDIASTINAL LYMPHADENOPATHY is common at presentation, especially in patients 15 to 35 years of age with CLASSICAL NODULAR SCLEROSIS",MEDIASTINAL LYMPHADENOPATHY,CLASSICAL NODULAR SCLEROSIS
no_relation,causes,0.936382183834624,118  Plague  Has been used for treatment of PLAGUE   +    caused by  YERSINIA PESTIS,PLAGUE,YERSINIA PESTIS
no_relation,causes,0.707106781186547,"b ,   c ,   144  A positive reaction may indicate latent infection, prior infection, and/or  M TUBERCULOSIS  disease and may not indicate ACTIVE TB;  c ,   d   individuals with a positive reaction should be considered positive by current public health guidelines and referred for further medical evaluation.",ACTIVE TB,M TUBERCULOSIS
no_relation,causes,0.975900072948533,15   Many patients today are identified as CELIACS who do not manifest the classic symptoms of steatorrhea and WEIGHT LOSS,WEIGHT LOSS,CELIACS
LISTERIA MONOCYTOGENES causes LISTERIOSIS,causes,0.988371697650617,l  Listeria Infections  Alternative for treatment of LISTERIOSIS caused by  LISTERIA MONOCYTOGENES,LISTERIOSIS,LISTERIA MONOCYTOGENES
CELL MEDIATED HYPERSENSITIVITY REACTION causes ALLERGIC CONTACT DERMATITIS,causes,1.0,"ALLERGIC CONTACT DERMATITIS is caused by a T CELL MEDIATED HYPERSENSITIVITY REACTION to environmental allergens, either natural or synthetic.",ALLERGIC CONTACT DERMATITIS,CELL MEDIATED HYPERSENSITIVITY REACTION
no_relation,causes,0.589767824619588,• All 11 INHALATIONAL ANTHRAX patients in the 2001 ANTHRAX outbreak initially presented with nonspecific flu like illnesses ( 28 ;  37.,INHALATIONAL ANTHRAX,ANTHRAX
KLEBSIELLA GRANULOMATIS causes DONOVANOSIS,causes,1.0,Alternative for treatment of granuloma inguinale   +    (DONOVANOSIS caused by  KLEBSIELLA GRANULOMATIS  (formerly  Calymmatobacterium granulomatis.,DONOVANOSIS,KLEBSIELLA GRANULOMATIS
no_relation,causes,0.9760921603577252,"SARCOIDOSIS is suggested by the presence of UVEITIS and erythema nodosum, the presence of hilar adenopathy without parenchymal infiltrates, or improvement after short term steroid treatment.",UVEITIS,SARCOIDOSIS
no_relation,causes,0.919145030018058,"Differential Diagnosis of Parkinson's Disease  Normal;           Differential Diagnosis of Parkinson's Disease Disease  Characteristics  Notes MULTIPLE SYSTEM ATROPHY  May occur with PARKINSONIAN (MSA P), autonomic (MSA A), or cerebellar features (MSA C), or with any combination of the three.",PARKINSONIAN,MULTIPLE SYSTEM ATROPHY
no_relation,causes,0.7559289460184542,"A positive DAT result, defining AUTOIMMUNE HEMOLYSIS is often present in APLA syndrome  As with SLE, some reports suggest that APLA syndrome may overlap with TTP (tvml 77tvml ; tvml 78tvml.",AUTOIMMUNE HEMOLYSIS,TTP
no_relation,causes,0.412081691846067,"A viral UPPER RESPIRATORY TRACT INFECTION may predispose to meningitis by allowing bacteria that are colonizing the RESPIRATORY TRACT especially  N. meningitidis , to enter the bloodstream and invade the meninges.",RESPIRATORY TRACT,UPPER RESPIRATORY TRACT INFECTION
no_relation,causes,0.4200840252084029,• Twenty four hour stool collection for quantification of volume may be helpful in large VOLUME OR WATERY DIARRHEA to confirm severity and indicate SECRETORY DIARRHEA if volume over 1 liter.,VOLUME OR WATERY DIARRHEA,SECRETORY DIARRHEA
ORF VIRUS causes CONTAGIOUS PUSTULAR DERMATITIS,causes,0.997054485501582,"SYN:   hypocretins ;  hypocretin    orf    (       audio )  A CONTAGIOUS PUSTULAR DERMATITIS caused by the ORF VIRUS a DNA virus of the Parapoxvirus genus, which is related to the vaccinia variola subgroup of poxviruses.",CONTAGIOUS PUSTULAR DERMATITIS,ORF VIRUS
COLD TEMPERATURES causes HYPOTHERMIA,causes,0.953462589245592,COLD TEMPERATURES are a particular hazard because HYPOTHERMIA can develop rapidly and affect judgment and dexterity or induce fatal cardiac arrhythmias in susceptible people.,HYPOTHERMIA,COLD TEMPERATURES
WILSON DISEASE causes TREMOR,causes,0.911684611677103,WILSON DISEASE should be considered when TREMOR or another movement disorder develops in a person younger than 50 years.,TREMOR,WILSON DISEASE
no_relation,causes,0.7302967433402209,"Most benign and malignant tumors present as a painless mass. However, malignant tumors may invade nerves, causing localized or regional PAIN numbness, paresthesia, CAUSALGIA or a loss of motor function.",PAIN,CAUSALGIA
no_relation,causes,0.426401432711221,"100  Hematologic Effects  LEUKOPENIA   100   neutropenia,  100   eosinophilia,  a   AGRANULOCYTOSIS  100   and thrombocytopenic purpura  100   reported.",LEUKOPENIA,AGRANULOCYTOSIS
no_relation,causes,0.514495755427526,"Chronic Diarrhea  In contrast to ACUTE DIARRHEA in which infection is the overwhelmingly likely cause of illness, CHRONIC DIARRHEA has an extensive and daunting list of possible causes [ see  Table 3.",CHRONIC DIARRHEA,ACUTE DIARRHEA
UNCOMPLICATED VARICELLA causes NOSOCOMIAL TRANSMISSION OF VZV,causes,0.75,• Avoid hospitalization of patients with UNCOMPLICATED VARICELLA to reduce the risk of NOSOCOMIAL TRANSMISSION OF VZV,UNCOMPLICATED VARICELLA,NOSOCOMIAL TRANSMISSION OF VZV
no_relation,causes,0.98058067569092,"129 ,   131   Discontinue ETANERCEPT if serious infection or SEPSIS develops.",SEPSIS,ETANERCEPT
no_relation,causes,0.8401680504168059,"Oral availability and safety should rapidly make it the preferred agent Influenza virus vaccine  Induces protective antibodies against influenza  0.5 mL im yearly  Prevents influenza, in turn preventing worsened anemia due to infection and complications of superinfections  Fever and sore arm in  Give to all patients with hemolytic anemias Pneumococcal polysaccharide vaccine  Develops antibodies to pneumococcal antigens  0.5 mL im every 5 6 years  Can prevent the most common form of overwhelming postsplenectomy sepsis; prevents worsened anemia and severe infection in all hemolytic anemia patients  Erythema and PAIN at INJECTION SITE in 50%; systemic fever in.",INJECTION SITE,PAIN
no_relation,causes,0.961074462327142,Common MIGRAINE has a similar onset with or without NAUSEA,NAUSEA,MIGRAINE
FIBROMYALGIA causes PAIN,causes,0.924500327042048,The patient complained of long standing aching PAIN in both lower legs which was diagnosed and managed as FIBROMYALGIA,PAIN,FIBROMYALGIA
GONOCOCCI causes OPHTHALMIA NEONATORUM,causes,1.0,In newborns this type of conjunctivitis is encountered more frequently than OPHTHALMIA NEONATORUM caused by GONOCOCCI,OPHTHALMIA NEONATORUM,GONOCOCCI
no_relation,causes,0.317999364001908,The condition may be associated with MIGRAINE HEADACHES possibly representing a MIGRAINE VARIANT,MIGRAINE HEADACHES,MIGRAINE VARIANT
no_relation,causes,0.5698028822981899,"The diagnosis of LEPROSY is made by nerve or skin biopsy, using the Fite method to stain and identify  M LEPRAE",LEPROSY,M LEPRAE
ESSENTIAL THROMBOCYTHEMIA causes INCREASED PLATELET COUNT,causes,0.970142500145332,"ESSENTIAL THROMBOCYTHEMIA  (Essential Thrombocytosis; Primary Thrombocythemia)  ESSENTIAL THROMBOCYTHEMIA is characterized by an INCREASED PLATELET COUNT megakaryocytic hyperplasia, and a hemorrhagic or thrombotic tendency.",INCREASED PLATELET COUNT,ESSENTIAL THROMBOCYTHEMIA
DRUGS causes LICHENOID DRUG ERUPTION,causes,0.962250448649376,"DRUGS (especially β blockers, NSAIDs, ACE inhibitors, sulfonylureas, gold, antimalarial agents, penicillamine, and thiazides) can cause LP; drug induced LP (sometimes called LICHENOID DRUG ERUPTION may be indistinguishable from non drug induced LP or may have a pattern that is more eczematous.",LICHENOID DRUG ERUPTION,DRUGS
SUCCINYLCHOLINE causes MALIGNANT HYPERTHERMIA,causes,0.970494958830946,"Rationale: • MALIGNANT HYPERTHERMIA is a rare disorder (highest rate estimated at 1:15,000 procedures) that can be provoked by the anesthetic agents halothane and SUCCINYLCHOLINE",MALIGNANT HYPERTHERMIA,SUCCINYLCHOLINE
no_relation,causes,0.923380516876639,SEE:   boil  ETIOLOGY: STAPHYLOCOCCI including METHICILLIN RESISTANT STAPH are the usual cause.,METHICILLIN RESISTANT STAPH,STAPHYLOCOCCI
VULVODYNIA causes SUPERFICIAL PAIN,causes,0.8944271909999159,"61   SUPERFICIAL PAIN is associated with light touch around the clitoris, labia, and vestibule and tends to be caused by anatomic abnormalities, dermatitis, dermatosis, infection, and VULVODYNIA or vestibulitis.",SUPERFICIAL PAIN,VULVODYNIA
no_relation,causes,0.848874687627165,"SLE WITH PROTEINURIA warrants a biopsy to determine the type of NEPHRITIS extent of activity, and presence of fibrosis.",NEPHRITIS,SLE WITH PROTEINURIA
ENDOMETRIOSIS causes CHRONIC PELVIC PAIN,causes,1.0,Comments: • Note that adhesions and some cases of ENDOMETRIOSIS both of which are causes of CHRONIC PELVIC PAIN may not have ultrasound manifestations.,CHRONIC PELVIC PAIN,ENDOMETRIOSIS
no_relation,causes,0.9918365981341758,Marked HYPERTENSION and regular tachycardia suggest PHEOCHROMOCYTOMA,HYPERTENSION,PHEOCHROMOCYTOMA
no_relation,causes,0.381000381000572,"349 ,   377 ,   a ,   b ,   c   Extreme care must be taken to avoid PREGNANCY during and for 6 months following RIBAVIRIN THERAPY in female patients and in female partners of male patients receiving ribavirin.",PREGNANCY,RIBAVIRIN THERAPY
VULVODYNIA LICHEN SCLEROSUS causes PAIN,causes,0.948683298050514,"Usually does not cause a vulvitis or VULVODYNIA LICHEN SCLEROSUS  Patients complain primarily of pruritus and burning PAIN of the vulva, perineal body, and perianus.",PAIN,VULVODYNIA LICHEN SCLEROSUS
no_relation,causes,0.9901475429766742,"68   T PLL typically presents with LYMPHADENOPATHY hepatosplenomegaly (65%), cytopenias (50%), skin involvement (20%), and marked peripheral blood lymphocytosis (often > 100×10 9 /L.",LYMPHADENOPATHY,T PLL
